leaf_sample	species	assoc_soil_sample	soil_type	C_leaf	N_leaf	Ca_leaf	Mg_leaf	Na_leaf	K_leaf	P_leaf	Cr_leaf	Fe_leaf	Mn_leaf	Ni_leaf	Al_leaf	Cu_leaf	Zn_leaf	S_leaf	Pb_leaf	Co_leaf	Cd_leaf	Mo_leaf	assoc_leaf_sample	H2O_pH_soil	Kcl_pH_soil	C_soil	N_soil	Ca_soil	Mg_soil	Na_soil	K_soil	P_soil	Cr_soil	Fe_soil	Mn_soil	Ni_soil	Al_soil	Cu_soil	Zn_soil	S_soil	Pb_soil	Co_soil	Cd_soil	Mo_soil
eru1105	eru	eru1105	ult	440	10.9	20.6	2.53	0.15	8.24	450	185	26.11	21.2	15.79	4	2.64	9.96	1344	0.9	0.14	0.1	0.3	1105	7.51	6.47	35.43	2.59	1625	129852	95.5	286	77.2	3611	76176	1361	3717	2787	6	64.8	220	12.5	245	3	5
eru1106	eru	eru1106	ult	441.9	10.27	17.57	2.04	0.29	7.45	476	345	34.9	26.52	15.64	8	2.55	12.01	1373	0.9	0.14	0.1	0.3	1106	7.43	6.43	25.38	1.98	1182	153464	76.8	309	106	3164	73799	1379	3278	2460	6	56.3	189	5	234	3	5
eru1107	eru	eru1107	ult	443.5	10.51	22.69	2.48	0.22	8.09	388	773	36.5	29.71	17.63	8	2.14	6.76	1269	0.9	0.14	0.1	3	1107	7.06	6.26	56.28	3.45	2038	136991	94.3	229	87.4	1885	60303	1123	3355	2455	6	46.6	338	5	190	3	5
eru1108	eru	eru1105	ult	436.2	11.16	23.47	2.54	0.32	8.57	418	217	32.94	22.45	9.35	4	2.58	8.59	1594	0.9	0.14	0.1	766	1105	7.51	6.47	35.43	2.59	1625	129852	95.5	286	77.2	3611	76176	1361	3717	2787	6	64.8	220	12.5	245	3	5
eru1109	eru	eru1109	ult	435.4	8.98	20.62	2.04	0.19	8.88	378	709	32.05	21.06	15.23	9	1.47	6.31	1726	0.9	0.14	0.1	377	1109	6.43	5.82	245.44	14.28	7374	46694	311	421	295	1848	47043	1047	2106	1860	6	59.2	1382	40	160	3	5.69
eru1110	eru	eru1107	ult	449.3	10.1	16.3	2.97	0.32	6.59	326	265	38.77	29.91	9.83	8.37	2.24	6.05	1237	0.9	0.14	0.1	0.3	1107	7.06	6.26	56.28	3.45	2038	136991	94.3	229	87.4	1885	60303	1123	3355	2455	6	46.6	338	5	190	3	5
eru1111	eru	eru1105	ult	445.2	11.48	11.29	2.92	0.16	12.48	357	413	26.97	20.75	10.07	4	2.38	5.34	1514	0.9	0.14	0.1	0.3	1105	7.51	6.47	35.43	2.59	1625	129852	95.5	286	77.2	3611	76176	1361	3717	2787	6	64.8	220	12.5	245	3	5
eru1112	eru	eru1106	ult	445.9	11.12	12.47	3.37	0.2	7.47	295	392	24.87	24.58	8.59	4	1.71	7.37	1255	0.9	0.14	0.1	463	1106	7.43	6.43	25.38	1.98	1182	153464	76.8	309	106	3164	73799	1379	3278	2460	6	56.3	189	5	234	3	5
fla1042	fla	fla1042	sed	399.8	10.18	26.19	2.56	1.34	15.49	486	1	196.74	202.04	8.29	153.98	3.75	15.41	2714	0.9	655	0.1	0.9	1042	5.17	4.39	80.67	5.21	2610	3931	479	6066	667	57.7	51475	393	40.1	84849	26.4	65.9	678	20	19.3	1	4
fla1043	fla	fla1043	sed	393.2	9.45	25.63	3.17	0.83	10.99	415	707	43.83	428.68	6.92	43.74	2.59	5.67	2642	0.9	0.14	0.1	0.9	1043	5.15	4.36	77.49	4.85	1224	3738	447	6571	633	49.3	55840	309	31.5	90401	27.4	54.7	668	20	19.7	1.19	4
fla1045	fla	fla1045	sed	396.6	9.71	18.77	2.76	1.94	13.89	797	357	26.12	236.57	10.4	40.1	2.91	8.09	2338	0.9	0.14	0.1	0.9	1045	4.06	3.35	85.81	5.73	654	3338	421	4570	766	49.7	64633	308	19.6	95187	35.8	67.3	853	23.2	21.6	1	4
fla1048	fla	fla1044	sed	395.3	8.45	33.96	2.6	1.04	7.76	430	1	224.63	576.55	4.45	208.24	5.03	12.33	2455	0.9	860	0.1	0.9	1045	5.36	4.72	300.22	11.75	6221	2298	430	1581	813	27.6	21011	713	29.4	46780	17.7	43.1	911	20	11.8	1	4
fla1054	fla	fla1054	sed	410.8	7.95	17.7	2.2	0.31	12.82	551	349	40.46	463.71	8.11	31.2	3.05	8.16	2515	0.9	0.14	0.1	0.9	1054	4.47	3.46	77.5	4.92	1847	3269	789	1857	488	36	45513	299	13.4	71123	21.6	46	621	20	16.6	1	4
fla1055	fla	fla1055	sed	407.4	7.12	16.57	3.45	0.42	10.78	496	566	29.3	531.89	8.63	27.66	3.45	6.79	1995	0.9	0.14	0.1	0.9	1055	3.97	3.14	80.12	4.48	923	2817	594	1632	425	44.6	45608	244	18.9	68076	19.8	54.9	591	20	17.5	1	4
fla1082	fla	fla1082	sed	418.8	10.68	16.53	2.61	1.79	9.35	626	232	99.83	624.7	17.33	59.54	3.45	15.96	1801	0.9	297	0.1	0.9	1082	4.58	3.49	41.88	3.23	1570	6081	6117	19343	468	74.9	42048	255	28.4	104023	29	67.7	385	5	23.1	3	5
fla1083	fla	fla1083	sed	413	9.45	19.78	4.29	0.44	10.99	470	224	58.3	365.7	4.03	68.75	3.87	15.75	2218	0.9	0.14	0.1	2	1083	4.51	3.5	59.43	4.33	559	3186	3615	7444	374	442	27610	110	175	59477	18.5	31.1	498	11.4	14.7	3	5
fla1085	fla	fla1085	sed	425.2	11.74	8.93	2.36	1.26	12.11	535	256	231.62	559.7	6.03	43.55	3.61	11.15	1632	0.9	0.14	0.1	0.9	1085	4.63	3.61	63.78	4.32	1042	3877	4735	10520	519	47.3	32123	163	25.1	73017	22.1	37.9	511	10.5	15.5	3	5
